name;datetime;tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;preciptype;windspeed;winddir;sealevelpressure;cloudcover;visibility;conditions;description
MOROCCO;05/10/1994;19.9;15.2;17.6;19.9;15.2;17.6;13.2;76;0;0;0;;18.4;336.1;1018.1;74;9.1;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;05/11/1994;18.1;15.1;16.9;18.1;15.1;16.9;11.9;72.8;0;0;0;;14.8;328.3;1016.9;85.8;9.3;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;05/12/1994;19.1;10.7;14.6;19.1;10.7;14.6;9.9;74.7;0;0;0;;14.8;300;1011.8;42.5;9;Partially cloudy;Clearing in the afternoon.
MOROCCO;5/13/1994;18.9;14.1;15.8;18.9;14.1;15.8;12.2;79.4;3;100;4.17;rain;29.5;274;1009.9;65.4;8.8;Rain, Partially cloudy;Partly cloudy throughout the day with rain in the morning and afternoon.
MOROCCO;5/14/1994;20.6;12.7;16.7;20.6;12.7;16.7;12.6;78.5;0;0;0;;22.3;255.1;1012.9;59.2;9.9;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;5/15/1994;22;12.7;18.4;22;12.7;18.4;14;76.9;0;0;0;;25.9;261;1013.9;65.4;9.5;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;5/16/1994;20.1;15.6;18;20.1;15.6;18;13.7;76.4;0;0;0;;18.4;274.1;1015.3;75;9.6;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;5/17/1994;19.1;13.6;16.2;19.1;13.6;16.2;13.2;82.9;6;100;8.33;rain;29.5;294.2;1018;69.5;8.3;Rain, Partially cloudy;Partly cloudy throughout the day with rain in the morning and afternoon.
MOROCCO;5/18/1994;20.1;11.1;17.2;20.1;11.1;17.2;11.4;69.8;0;0;0;;18.4;299.5;1020.5;36.9;9.9;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;5/19/1994;19.7;9.9;15.3;19.7;9.9;15.3;11.8;80.4;0;0;0;;22.3;300;1019;31.3;9.9;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;5/20/1994;23.1;13.1;18.5;23.1;13.1;18.5;14.6;78.9;0;0;0;;18.4;260.1;1017.1;77.8;9.2;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;5/21/1994;21.7;12.2;17.7;21.7;12.2;17.7;14.8;84.6;0;0;0;;18.4;305.6;1016.5;40;8.3;Partially cloudy;Partly cloudy throughout the day.
